Tahun,Jk,Umur,Penduduk
2025,Perempuan,45-49,9511
2025,Perempuan,50-54,8642
2025,Perempuan,55-59,7636
2025,Perempuan,60-64,6313
2025,Perempuan,65-69,4760
2025,Perempuan,70-74,3205
2025,Perempuan,75-79,2060
2025,Perempuan,80-84,1235
2025,Perempuan,85+,684
2026,Laki-laki,00-04,11161
2026,Laki-laki,05-09,11457
2026,Laki-laki,10-14,12133
2026,Laki-laki,15-19,12067
2026,Laki-laki,20-24,11302
2026,Laki-laki,25-29,11115
2026,Laki-laki,30-34,10735
2026,Laki-laki,35-39,10419
2026,Laki-laki,40-44,10475
2026,Laki-laki,45-49,9859
2026,Laki-laki,50-54,8804
2026,Laki-laki,55-59,7628
2026,Laki-laki,60-64,6138
2026,Laki-laki,65-69,4404
2026,Laki-laki,70-74,2736
2026,Laki-laki,75-79,1475
2026,Laki-laki,80-84,740
2026,Laki-laki,85+,343
2026,Perempuan,00-04,10577
2026,Perempuan,05-09,10865
2026,Perempuan,10-14,11518
2026,Perempuan,15-19,11462
2026,Perempuan,20-24,10745
2026,Perempuan,25-29,10595
2026,Perempuan,30-34,10234
2026,Perempuan,35-39,9945
2026,Perempuan,40-44,10071
2026,Perempuan,45-49,9630
2026,Perempuan,50-54,8771
2026,Perempuan,55-59,7788
2026,Perempuan,60-64,6514
2026,Perempuan,65-69,4975
2026,Perempuan,70-74,3383
2026,Perempuan,75-79,2103
2026,Perempuan,80-84,1264
2026,Perempuan,85+,720
2027,Laki-laki,00-04,11114
2027,Laki-laki,05-09,11369
2027,Laki-laki,10-14,11972
2027,Laki-laki,15-19,12165
2027,Laki-laki,20-24,11426
2027,Laki-laki,25-29,11094
2027,Laki-laki,30-34,10824
2027,Laki-laki,35-39,10448
2027,Laki-laki,40-44,10417
2027,Laki-laki,45-49,10001
2027,Laki-laki,50-54,8943
2027,Laki-laki,55-59,7772
2027,Laki-laki,60-64,6326
2027,Laki-laki,65-69,4600
2027,Laki-laki,70-74,2889
2027,Laki-laki,75-79,1544
2027,Laki-laki,80-84,756
2027,Laki-laki,85+,358
2027,Perempuan,00-04,10534
2027,Perempuan,05-09,10779
2027,Perempuan,10-14,11366
2027,Perempuan,15-19,11556
2027,Perempuan,20-24,10866
2027,Perempuan,25-29,10573
2027,Perempuan,30-34,10327
2027,Perempuan,35-39,9969
2027,Perempuan,40-44,10002
2027,Perempuan,45-49,9747
2027,Perempuan,50-54,8897
2027,Perempuan,55-59,7929
2027,Perempuan,60-64,6709
2027,Perempuan,65-69,5187
2027,Perempuan,70-74,3565
2027,Perempuan,75-79,2170
2027,Perempuan,80-84,1290
2027,Perempuan,85+,751
2028,Laki-laki,00-04,11078
2028,Laki-laki,05-09,11296
2028,Laki-laki,10-14,11805
2028,Laki-laki,15-19,12209
2028,Laki-laki,20-24,11581
2028,Laki-laki,25-29,11071
2028,Laki-laki,30-34,10918
2028,Laki-laki,35-39,10462
2028,Laki-laki,40-44,10356
2028,Laki-laki,45-49,10128
2028,Laki-laki,50-54,9083
2028,Laki-laki,55-59,7917
2028,Laki-laki,60-64,6502
2028,Laki-laki,65-69,4791
2028,Laki-laki,70-74,3044
2028,Laki-laki,75-79,1627
2028,Laki-laki,80-84,774
2028,Laki-laki,85+,371
2028,Perempuan,00-04,10501
2028,Perempuan,05-09,10709
2028,Perempuan,10-14,11207
2028,Perempuan,15-19,11597
2028,Perempuan,20-24,11017
2028,Perempuan,25-29,10549
2028,Perempuan,30-34,10424
2028,Perempuan,35-39,9982
2028,Perempuan,40-44,9932
2028,Perempuan,45-49,9848
2028,Perempuan,50-54,9020
2028,Perempuan,55-59,8070
2028,Perempuan,60-64,6891
2028,Perempuan,65-69,5393
2028,Perempuan,70-74,3749
2028,Perempuan,75-79,2263
2028,Perempuan,80-84,1313
2028,Perempuan,85+,781
2029,Laki-laki,00-04,11052
2029,Laki-laki,05-09,11228
2029,Laki-laki,10-14,11662
2029,Laki-laki,15-19,12212
2029,Laki-laki,20-24,11729
2029,Laki-laki,25-29,11076
2029,Laki-laki,30-34,10976
2029,Laki-laki,35-39,10487
2029,Laki-laki,40-44,10298
2029,Laki-laki,45-49,10224
2029,Laki-laki,50-54,9230
2029,Laki-laki,55-59,8056
2029,Laki-laki,60-64,6669
2029,Laki-laki,65-69,4975
2029,Laki-laki,70-74,3202
2029,Laki-laki,75-79,1721
2029,Laki-laki,80-84,795
2029,Laki-laki,85+,383
2029,Perempuan,00-04,10477
2029,Perempuan,05-09,10645
2029,Perempuan,10-14,11070
2029,Perempuan,15-19,11600
2029,Perempuan,20-24,11163
2029,Perempuan,25-29,10554
2029,Perempuan,30-34,10483
2029,Perempuan,35-39,10008
2029,Perempuan,40-44,9868
2029,Perempuan,45-49,9920
2029,Perempuan,50-54,9149
2029,Perempuan,55-59,8204
2029,Perempuan,60-64,7063
2029,Perempuan,65-69,5594
2029,Perempuan,70-74,3935
2029,Perempuan,75-79,2379
2029,Perempuan,80-84,1336
2029,Perempuan,85+,810
2030,Laki-laki,00-04,11029
2030,Laki-laki,05-09,11167
2030,Laki-laki,10-14,11538
2030,Laki-laki,15-19,12180
2030,Laki-laki,20-24,11851
2030,Laki-laki,25-29,11118
2030,Laki-laki,30-34,11003
2030,Laki-laki,35-39,10544
2030,Laki-laki,40-44,10257
2030,Laki-laki,45-49,10267
2030,Laki-laki,50-54,9379
2030,Laki-laki,55-59,8189
2030,Laki-laki,60-64,6828
2030,Laki-laki,65-69,5152
2030,Laki-laki,70-74,3364
2030,Laki-laki,75-79,1823
2030,Laki-laki,80-84,822
2030,Laki-laki,85+,395
2030,Perempuan,00-04,10457
2030,Perempuan,05-09,10589
2030,Perempuan,10-14,10949
2030,Perempuan,15-19,11570
2030,Perempuan,20-24,11283
2030,Perempuan,25-29,10595
2030,Perempuan,30-34,10510
2030,Perempuan,35-39,10067
2030,Perempuan,40-44,9824
2030,Perempuan,45-49,9941
2030,Perempuan,50-54,9278
2030,Perempuan,55-59,8332
2030,Perempuan,60-64,7225
2030,Perempuan,65-69,5788
2030,Perempuan,70-74,4124
2030,Perempuan,75-79,2512
2030,Perempuan,80-84,1361
2030,Perempuan,85+,839
2031,Laki-laki,00-04,11011
2031,Laki-laki,05-09,11114
2031,Laki-laki,10-14,11431
2031,Laki-laki,15-19,12083
2031,Laki-laki,20-24,11967
2031,Laki-laki,25-29,11195
2031,Laki-laki,30-34,11008
2031,Laki-laki,35-39,10617
2031,Laki-laki,40-44,10267
2031,Laki-laki,45-49,10247
2031,Laki-laki,50-54,9521
2031,Laki-laki,55-59,8325
2031,Laki-laki,60-64,6974
2031,Laki-laki,65-69,5325
2031,Laki-laki,70-74,3527
2031,Laki-laki,75-79,1931
2031,Laki-laki,80-84,856
2031,Laki-laki,85+,407
2031,Perempuan,00-04,10441
2031,Perempuan,05-09,10541
2031,Perempuan,10-14,10844
2031,Perempuan,15-19,11480
2031,Perempuan,20-24,11396
2031,Perempuan,25-29,10671
2031,Perempuan,30-34,10515
2031,Perempuan,35-39,10144
2031,Perempuan,40-44,9829
2031,Perempuan,45-49,9905
2031,Perempuan,50-54,9397
2031,Perempuan,55-59,8460
2031,Perempuan,60-64,7373
2031,Perempuan,65-69,5977
2031,Perempuan,70-74,4315
2031,Perempuan,75-79,2656
2031,Perempuan,80-84,1394
2031,Perempuan,85+,868
2032,Laki-laki,00-04,10999
2032,Laki-laki,05-09,11067
2032,Laki-laki,10-14,11344
2032,Laki-laki,15-19,11923
2032,Laki-laki,20-24,12066
2032,Laki-laki,25-29,11319
2032,Laki-laki,30-34,10989
2032,Laki-laki,35-39,10706
2032,Laki-laki,40-44,10297
2032,Laki-laki,45-49,10193
2032,Laki-laki,50-54,9661
2032,Laki-laki,55-59,8460
2032,Laki-laki,60-64,7110
2032,Laki-laki,65-69,5493
2032,Laki-laki,70-74,3688
2032,Laki-laki,75-79,2042
2032,Laki-laki,80-84,899
2032,Laki-laki,85+,420
2032,Perempuan,00-04,10429
2032,Perempuan,05-09,10499
2032,Perempuan,10-14,10759
2032,Perempuan,15-19,11329
2032,Perempuan,20-24,11490
2032,Perempuan,25-29,10793
2032,Perempuan,30-34,10495
2032,Perempuan,35-39,10238
2032,Perempuan,40-44,9855
2032,Perempuan,45-49,9839
2032,Perempuan,50-54,9514
2032,Perempuan,55-59,8584
2032,Perempuan,60-64,7511
2032,Perempuan,65-69,6160
2032,Perempuan,70-74,4504
2032,Perempuan,75-79,2804
2032,Perempuan,80-84,1444
2032,Perempuan,85+,895
2033,Laki-laki,00-04,10986
2033,Laki-laki,05-09,11032
2033,Laki-laki,10-14,11271
2033,Laki-laki,15-19,11758
2033,Laki-laki,20-24,12110
2033,Laki-laki,25-29,11474
2033,Laki-laki,30-34,10966
2033,Laki-laki,35-39,10801
2033,Laki-laki,40-44,10312
2033,Laki-laki,45-49,10134
2033,Laki-laki,50-54,9787
2033,Laki-laki,55-59,8596
2033,Laki-laki,60-64,7248
2033,Laki-laki,65-69,5651
2033,Laki-laki,70-74,3846
2033,Laki-laki,75-79,2156
2033,Laki-laki,80-84,951
2033,Laki-laki,85+,431
2033,Perempuan,00-04,10418
2033,Perempuan,05-09,10468
